gait_percentage,F_x_prime,F_y_prime,F_abs,CoP_xp,CoP_yp
0,0,0,0,0,0
1.41843971631206,0,0,0,0,0
2.93819655521783,0,0,0,0,0
4.35663627152989,0,0,0,0,0
5.77507598784195,0,0,0,0,0
7.29483282674772,0,0,0,0,0
8.71327254305978,0,0,0,0,0
10.1317122593718,0,0,0,0,0
11.5501519756839,0,0,0,0,0
13.0699088145897,0,0,0,0,0
14.4883485309017,0,0,0,0,0
15.9067882472138,0,0,0,0,0
17.4265450861196,0,0,0,0,0
18.8449848024316,0,0,0,0,0
20.2634245187437,0,0,0,0,0
21.7831813576494,0,0,0,0,0
23.2016210739615,0,0,0,0,0
24.6200607902736,0,0,0,0,0
26.0385005065856,0,0,0,0,0
27.5582573454914,0,0,0,0,0
28.9766970618034,0,0,0,0,0
30.3951367781155,0,0,0,0,0
31.9148936170213,0,0,0,0,0
33.3333333333333,0,0,0,0,0
34.7517730496454,0,0,0,0,0
36.1702127659574,0,0,0,0,0
37.6899696048632,0,0,0,0,0
39.1084093211753,11.6196208915031,12.4642825157259,17.0403617418787,-1.07638160797114,-0.0374517559238257
40.5268490374873,8.64569383224324,33.5501435852895,34.6462141717451,10.8513749359217,-3.15399143943893
42.0466058763931,2.94885825627321,55.1736601551358,55.2524075487214,25.4041390276277,-5.5569524260126
43.4650455927052,-4.39581274826985,73.7703457117596,73.9011980697903,54.4244123259523,-8.05874326273963
44.8834853090172,-11.4626268346426,86.5367706216312,87.2926370524518,53.2665383904089,-5.53948444380126
46.403242147923,-17.4588348420601,94.0180870419009,95.6253711368525,63.9596877690224,-4.08880673169887
47.8216818642351,-22.1835851462474,98.9459342390802,101.402215717336,66.384501985071,-2.85445199541107
49.2401215805471,-25.031289467652,103.287178777736,106.27702833763,72.7570159953275,-2.053441855933
50.6585612968592,-25.7237106817715,106.590365155926,109.65042286883,77.8117261998193,-1.75933675126274
52.1783181357649,-24.2259033364821,107.440638373929,110.138027795426,75.6740688050636,-2.19893394319188
53.596757852077,-20.9948660645543,104.977531025179,107.056370297199,79.4025093845321,-2.31116927967145
55.0151975683891,-17.5772156956752,99.4470252869749,100.988461469816,79.4313195613411,-2.60105223787593
56.5349544072948,-14.6649296084113,92.178039587404,93.3372977035262,81.8314803333139,-2.5882091218534
57.9533941236069,-12.4712957657928,84.5234628271756,85.4385684944149,89.8126887487699,-2.18424808951571
